query,label
What time does the local store close,local
Find a nearby coffee shop,local
Show me restaurants near me,local
What is the address of the downtown branch,local
Can I get directions to the nearest pharmacy,local
Is there a grocery store in my area,local
Find local events this weekend,local
What are the opening hours for the library,local
Search the web for the latest election results,online
Look up today's weather forecast,online
Find the latest news about artificial intelligence,online
Search online for flights to London,online
What is the current price of bitcoin,online
Browse the internet for a recipe,online
Check the live stock market update,online
Look up the definition of quantum computing,online
